date,open
2020-04-01,151.03920796698023
2020-04-02,150.47130143249962
2020-04-03,151.1563333972077
2020-04-04,153.02128864492357
2020-04-05,154.74449474794505
2020-04-06,156.6852731285484
2020-04-07,151.28492418076152
2020-04-08,147.53328969853186
2020-04-09,145.1379475544019
2020-04-10,146.74830893028934
2020-04-11,147.1301493189973
2020-04-12,146.48254634140875
2020-04-13,149.89492348746367
2020-04-14,150.74151580699166
2020-04-15,149.01446561622205
2020-04-16,148.26677326463314
2020-04-17,150.16740844953787
2020-04-18,149.52936400387736
2020-04-19,150.62736939803082
2020-04-20,151.91680019439954
2020-04-21,150.23031993298594
2020-04-22,148.83422599881322
2020-04-23,148.90036248317494
2020-04-24,146.58065514330193
2020-04-25,144.67089972115832
2020-04-26,144.21834085090256
2020-04-27,141.26065345954075
2020-04-28,136.2264330740297
2020-04-29,136.97986269706385
2020-04-30,136.51172164885014
2020-05-01,134.98668615407018
2020-05-02,138.16417703056453
2020-05-03,139.38222912051617
2020-05-04,139.11154310572104
2020-05-05,139.0668331923896
2020-05-06,137.92190849406452
2020-05-07,133.79122397968084
2020-05-08,130.16154970987103
2020-05-09,130.77808066049258
2020-05-10,132.5825643263254
2020-05-11,131.48832050179163
2020-05-12,129.83301873641014
2020-05-13,130.36471733911787
2020-05-14,128.77760770898612
2020-05-15,126.49860166320177
2020-05-16,126.42919731198117
2020-05-17,124.97956425468998
2020-05-18,123.4900844783691
2020-05-19,122.75901571819035
2020-05-20,120.30642836232667
2020-05-21,119.37433585002354
2020-05-22,120.0712903521673
2020-05-23,120.16845385617592
2020-05-24,119.98388153042448
2020-05-25,120.96853203451042
2020-05-26,120.65241253233879
2020-05-27,120.20813516861877
2020-05-28,119.7210743239746
2020-05-29,118.89706833284731
2020-05-30,117.87132275212117
2020-05-31,117.5122920237371
2020-06-01,117.2835461795048
2020-06-02,117.05979228770751
2020-06-03,116.86730794517848
2020-06-04,116.60167508833541
2020-06-05,115.94274155111067
2020-06-06,115.3645128087758
2020-06-07,115.71942181969753
2020-06-08,115.17819544565684
2020-06-09,115.0095686168612
2020-06-10,115.42769776498028
2020-06-11,114.90462400698284
2020-06-12,113.49528542526379
2020-06-13,113.30875774205008
2020-06-14,113.41262684943104
2020-06-15,112.79668551220057
2020-06-16,112.61946291285172
2020-06-17,112.66720723315781
2020-06-18,111.81279005293052
2020-06-19,111.15521506623614
2020-06-20,110.84870327742154
2020-06-21,109.77053179663075
2020-06-22,108.77451677238928
2020-06-23,108.56825876288572
2020-06-24,108.26996287528229
2020-06-25,107.64717023173137
2020-06-26,107.53599287132101
2020-06-27,107.35981113655765
2020-06-28,107.0724540935408
2020-06-29,106.73611475458124
2020-06-30,106.43110772288533
2020-07-01,106.05292005665387
2020-07-02,105.58361182932782
2020-07-03,105.07302275200679
2020-07-04,104.32062527474159
2020-07-05,103.61110989754556
