date,open
2020-04-16,2231.89821978602
2020-04-17,2276.1418153835884
2020-04-18,2218.6913122894757
2020-04-19,2208.8104819275413
2020-04-20,2218.0042516072717
2020-04-21,2181.383879310115
2020-04-22,2228.179088654991
2020-04-23,2195.957322569645
2020-04-24,2153.7863017018353
2020-04-25,2160.103430653366
2020-04-26,2147.2941902416937
2020-04-27,2195.401267621004
2020-04-28,2195.378092891363
2020-04-29,2197.8770142203216
2020-04-30,2215.1173161173824
2020-05-01,2212.2012150556984
2020-05-02,2220.1685751497716
2020-05-03,2242.830352686655
2020-05-04,2224.9602538731683
2020-05-05,2249.695353762178
2020-05-06,2266.6369887834635
2020-05-07,2279.606852627387
2020-05-08,2262.4245253221843
2020-05-09,2282.1545204688528
2020-05-10,2306.9076500917986
2020-05-11,2308.099723288486
2020-05-12,2324.1276030948356
2020-05-13,2294.126579130229
2020-05-14,2291.1287441433938
2020-05-15,2292.348738314284
2020-05-16,2330.8417785300535
2020-05-17,2344.25027622872
2020-05-18,2344.795666971209
2020-05-19,2344.9345359125987
2020-05-20,2358.7072881793288
2020-05-21,2347.3917783428615
2020-05-22,2363.5960344354085
2020-05-23,2367.813456301265
2020-05-24,2345.2673897078985
2020-05-25,2356.079403637588
2020-05-26,2337.7198351482875
2020-05-27,2328.27691431516
2020-05-28,2337.802147897542
2020-05-29,2343.0056863950754
2020-05-30,2345.3689103938464
2020-05-31,2338.000870186664
2020-06-01,2319.3944768172296
2020-06-02,2340.0013514393104
2020-06-03,2346.2954095783625
2020-06-04,2365.329256093256
2020-06-05,2364.375426493492
2020-06-06,2357.796101212673
2020-06-07,2354.4293275186114
2020-06-08,2348.834794713715
2020-06-09,2347.193074898925
2020-06-10,2340.3713846898063
2020-06-11,2352.218067611136
2020-06-12,2345.7400227572666
2020-06-13,2341.122659080073
2020-06-14,2345.479107455381
2020-06-15,2340.4374800675973
2020-06-16,2357.2808222847484
2020-06-17,2367.0972377211197
2020-06-18,2362.4190488062745
2020-06-19,2372.9312984591
2020-06-20,2367.682042635074
2020-06-21,2382.5576863099145
2020-06-22,2385.293913139317
2020-06-23,2380.108441194498
2020-06-24,2388.462529038494
